InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
0,3,1,0,[43.94835403  0.          0.          0.          0.          0.        ]
0,3,1,1,[ 0.         47.96492213  0.          0.          0.          0.        ]
0,3,1,2,[ 0.          0.         51.31705097  0.          0.          0.        ]
0,3,1,3,[ 0.          0.          0.         55.51498911  0.          0.        ]
0,3,1,4,[ 0.          0.          0.          0.         83.93668902  0.        ]
0,3,1,5,[ 0.          0.          0.          0.          0.         95.40688919]
0,3,2,0,[43.84633126  0.          0.          0.          0.          0.        ]
0,3,2,1,[ 0.         47.72884294  0.          0.          0.          0.        ]
0,3,2,2,[ 0.          0.         52.02821722  0.          0.          0.        ]
0,3,2,3,[ 0.          0.          0.         54.22645641  0.          0.        ]
0,3,2,4,[ 0.          0.          0.          0.         81.78828976  0.        ]
0,3,2,5,[ 0.          0.          0.          0.          0.         90.89074021]
0,3,3,0,[43.88304038  0.          0.          0.          0.          0.        ]
0,3,3,1,[ 0.         48.06413541  0.          0.          0.          0.        ]
0,3,3,2,[ 0.          0.         51.25002232  0.          0.          0.        ]
0,3,3,3,[ 0.         0.         0.        56.2327006  0.         0.       ]
0,3,3,4,[ 0.          0.          0.          0.         77.51240291  0.        ]
0,3,3,5,"[  0.           0.           0.           0.           0.
 104.06385621]"
0,3,4,0,[43.57944865  0.          0.          0.          0.          0.        ]
0,3,4,1,[ 0.         47.72765293  0.          0.          0.          0.        ]
0,3,4,2,[ 0.          0.         51.48066744  0.          0.          0.        ]
0,3,4,3,[ 0.          0.          0.         55.29912966  0.          0.        ]
0,3,4,4,[ 0.          0.          0.          0.         80.22561792  0.        ]
0,3,4,5,[ 0.          0.          0.          0.          0.         80.70481044]
0,3,5,0,[44.00848119  0.          0.          0.          0.          0.        ]
0,3,5,1,[ 0.         47.74877587  0.          0.          0.          0.        ]
0,3,5,2,[ 0.          0.         51.69336986  0.          0.          0.        ]
0,3,5,3,[ 0.          0.          0.         55.49063607  0.          0.        ]
0,3,5,4,[ 0.          0.          0.          0.         72.34151155  0.        ]
0,3,5,5,[ 0.          0.          0.          0.          0.         79.43108648]
0,3,6,0,[43.92585352  0.          0.          0.          0.          0.        ]
0,3,6,1,[ 0.         48.03584793  0.          0.          0.          0.        ]
0,3,6,2,[ 0.          0.         52.41895835  0.          0.          0.        ]
0,3,6,3,[ 0.          0.          0.         53.00211046  0.          0.        ]
0,3,6,4,[ 0.          0.          0.          0.         72.46654885  0.        ]
0,3,6,5,[ 0.          0.          0.          0.          0.         98.59630582]
0,3,7,0,[44.35500854  0.          0.          0.          0.          0.        ]
0,3,7,1,[ 0.         51.74287962  0.          0.          0.          0.        ]
0,3,7,2,[ 0.          0.         52.94967009  0.          0.          0.        ]
0,3,7,3,[ 0.          0.          0.         54.48912168  0.          0.        ]
0,3,7,4,[ 0.          0.          0.          0.         77.51122454  0.        ]
0,3,7,5,[ 0.          0.          0.          0.          0.         84.72072228]
0,4,0,0,[48.78174026  0.          0.          0.          0.          0.        ]
0,4,0,1,[ 0.         52.70645909  0.          0.          0.          0.        ]
0,4,0,2,[ 0.          0.         55.70425307  0.          0.          0.        ]
0,4,0,3,[ 0.          0.          0.         59.67183654  0.          0.        ]
0,4,0,4,[ 0.          0.          0.          0.         66.48074132  0.        ]
