Time,Queue 0 Product 0,Queue 0 Product 1,Queue 1 Product 0,Queue 1 Product 1,Queue 2 Product 0,Queue 2 Product 1,Queue 3 Product 0,Queue 3 Product 1,Demand Queue Product 0,Demand Queue Product 1,Machine 1 Current Product,Machine 3 Current Product
446,142,50,0,0,0,0,0,0,150,50,0,None
447,142,50,0,0,0,0,0,0,150,50,0,None
448,142,50,0,0,0,0,0,0,150,50,0,None
449,142,50,0,0,0,0,0,0,150,50,0,None
450,142,50,0,0,0,0,0,0,150,50,0,None
451,142,50,0,0,0,0,0,0,150,50,0,None
452,142,50,0,0,0,0,0,0,150,50,0,None
453,142,50,0,0,0,0,0,0,150,50,0,None
454,142,50,0,0,0,0,0,0,150,50,0,None
455,142,50,0,0,0,0,0,0,150,50,0,None
456,142,50,0,0,0,0,0,0,150,50,0,None
457,142,50,0,0,0,0,0,0,150,50,0,None
458,142,50,0,0,0,0,0,0,150,50,0,None
459,142,50,0,0,0,0,0,0,150,50,0,None
460,142,50,0,0,0,0,0,0,150,50,0,None
461,142,50,0,0,0,0,0,0,150,50,0,None
462,142,50,0,0,0,0,0,0,150,50,0,None
463,142,50,0,0,0,0,0,0,150,50,0,None
464,142,50,0,0,0,0,0,0,150,50,0,None
465,142,50,0,0,0,0,0,0,150,50,0,None
466,142,50,0,0,0,0,0,0,150,50,0,None
467,142,50,0,0,0,0,0,0,150,50,0,None
468,142,50,0,0,0,0,0,0,150,50,0,None
469,142,50,0,0,0,0,0,0,150,50,0,None
470,142,50,0,0,0,0,0,0,150,50,0,None
471,142,50,0,0,0,0,0,0,150,50,0,None
472,142,50,0,0,0,0,0,0,150,50,0,None
473,142,50,0,0,0,0,0,0,150,50,0,None
474,142,50,0,0,0,0,0,0,150,50,0,None
475,142,50,0,0,0,0,0,0,150,50,0,None
476,142,50,0,0,0,0,0,0,150,50,0,None
477,142,50,0,0,0,0,0,0,150,50,0,None
478,142,50,0,0,0,0,0,0,150,50,0,None
479,142,50,0,0,0,0,0,0,150,50,0,None
480,142,50,0,0,0,0,0,0,150,50,0,None
481,142,50,0,0,0,0,0,0,150,50,0,None
482,142,50,0,0,0,0,0,0,150,50,0,None
483,138,50,3,0,0,0,0,0,150,50,0,None
484,138,50,3,0,0,0,0,0,150,50,0,None
485,138,50,3,0,0,0,0,0,150,50,0,None
486,138,50,3,0,0,0,0,0,150,50,0,None
487,138,50,3,0,0,0,0,0,150,50,0,None
488,138,50,3,0,0,0,0,0,150,50,0,None
489,138,50,3,0,0,0,0,0,150,50,0,None
490,138,50,3,0,0,0,0,0,150,50,0,None
491,138,50,3,0,0,0,0,0,150,50,0,None
492,138,50,3,0,0,0,0,0,150,50,0,None
493,138,50,3,0,0,0,0,0,150,50,0,None
494,138,50,3,0,0,0,0,0,150,50,0,None
495,138,50,3,0,0,0,0,0,150,50,0,None
496,138,50,3,0,0,0,0,0,150,50,0,None
497,138,50,3,0,0,0,0,0,150,50,0,None
498,138,50,3,0,0,0,0,0,150,50,0,None
499,138,50,3,0,0,0,0,0,150,50,0,None
500,138,50,3,0,0,0,0,0,150,50,0,None
501,138,50,3,0,0,0,0,0,150,50,0,None
502,138,50,3,0,0,0,0,0,150,50,0,None
503,138,50,3,0,0,0,0,0,150,50,0,None
504,138,50,3,0,0,0,0,0,150,50,0,None
505,138,50,3,0,0,0,0,0,150,50,0,None
506,138,50,3,0,0,0,0,0,150,50,0,None
507,138,50,3,0,0,0,0,0,150,50,0,None
508,138,50,3,0,0,0,0,0,150,50,0,None
509,138,50,3,0,0,0,0,0,150,50,0,None
510,138,50,3,0,0,0,0,0,150,50,0,None
511,138,50,3,0,0,0,0,0,150,50,0,None
512,138,50,3,0,0,0,0,0,150,50,0,None
513,138,50,2,0,1,0,0,0,150,50,0,None
514,138,50,2,0,1,0,0,0,150,50,0,None
515,138,50,2,0,1,0,0,0,150,50,0,None
516,138,50,2,0,1,0,0,0,150,50,0,None
