InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
1,6,6,2,115.49999999993508
1,6,6,3,119.49999999994209
1,6,6,4,123.49999999980662
1,6,6,5,127.49999999999956
1,6,7,0,107.49999999999956
1,6,7,1,111.49999999999078
1,6,7,2,115.49999999997415
1,6,7,3,119.4999999993524
1,6,7,4,123.49999999992407
1,6,7,5,127.49999999999956
1,7,0,0,112.49999999999956
1,7,0,1,116.49999999986242
1,7,0,2,120.4999999999833
1,7,0,3,124.49999999995673
1,7,0,4,128.49999999958013
1,7,0,5,132.4999999999995
1,7,1,0,112.49999999999956
1,7,1,1,116.49999999999397
1,7,1,2,120.4999999999917
1,7,1,3,124.49999999998619
1,7,1,4,128.4999999999995
1,7,1,5,132.4999999999995
1,7,2,0,112.49999999999956
1,7,2,1,116.49999999999122
1,7,2,2,120.49999999999838
1,7,2,3,124.49999999999795
1,7,2,4,128.49999999994208
1,7,2,5,132.4999999999995
1,7,3,0,112.49999999999956
1,7,3,1,116.4999999998969
1,7,3,2,120.49999999992572
1,7,3,3,124.49999999999956
1,7,3,4,128.4999999999995
1,7,3,5,132.4999999999995
1,7,4,0,112.49999999999956
1,7,4,1,116.49999999997007
1,7,4,2,120.4999999999633
1,7,4,3,124.49999999999083
1,7,4,4,128.49999999984564
1,7,4,5,132.4999999999995
1,7,5,0,112.49999999999956
1,7,5,1,116.49999999866762
1,7,5,2,120.49999999992613
1,7,5,3,124.49999999999956
1,7,5,4,128.49999999998457
1,7,5,5,132.4999999999995
1,7,6,0,112.49999999999956
1,7,6,1,116.49999999999342
1,7,6,2,120.49999999993521
1,7,6,3,124.49999999995262
1,7,6,4,128.49999999997905
1,7,6,5,132.4999999999995
1,7,7,0,112.49999999999956
1,7,7,1,116.49999999999528
1,7,7,2,120.4999999999228
1,7,7,3,124.49999999968666
1,7,7,4,128.4999999995003
1,7,7,5,132.4999999999995
2,0,0,0,97.49999999999956
2,0,0,1,108.99999999999956
2,0,0,2,120.49999999999956
2,0,0,3,131.9999999999995
2,0,0,4,138.4999999999995
2,0,0,5,144.9999999999995
2,0,1,0,97.49999999999956
2,0,1,1,108.99999999999956
2,0,1,2,120.49999999999956
2,0,1,3,131.9999999999995
2,0,1,4,138.4999999999995
2,0,1,5,144.9999999999995
2,0,2,0,97.49999999999956
2,0,2,1,108.99999999999956
2,0,2,2,120.49999999999956
2,0,2,3,131.9999999999995
2,0,2,4,138.4999999999995
2,0,2,5,144.9999999999995
2,0,3,0,97.49999999999956
2,0,3,1,108.99999999999956
2,0,3,2,120.49999999999956
2,0,3,3,131.9999999999995
2,0,3,4,138.4999999999995
2,0,3,5,144.9999999999995
2,0,4,0,97.49999999999956
2,0,4,1,108.99999999999956
2,0,4,2,120.49999999999956
2,0,4,3,131.9999999999995
2,0,4,4,138.4999999999995
2,0,4,5,144.9999999999995
2,0,5,0,97.49999999999956
2,0,5,1,108.99999999999956
2,0,5,2,120.49999999999956
2,0,5,3,131.9999999999995
2,0,5,4,138.4999999999995
2,0,5,5,144.9999999999995
2,0,6,0,97.49999999999956
2,0,6,1,108.99999999999956
2,0,6,2,120.49999999999956
2,0,6,3,131.9999999999995
2,0,6,4,138.4999999999995
2,0,6,5,144.9999999999995
2,0,7,0,97.49999999999956
2,0,7,1,108.99999999999956
2,0,7,2,120.49999999999956
2,0,7,3,131.9999999999995
2,0,7,4,138.4999999999995
2,0,7,5,144.9999999999995
2,1,0,0,94.99999999999956
